temperature,floor1,floor2,floor3,floor4,areaEvaluated
23,102,62,103,97,317
22,51,90,50,57,251
21,82,74,77,72,157
24,97,106,58,78,213
19,76,70,93,72,226
22,59,108,51,92,283
17,85,95,74,85,316
23,110,72,65,93,321
21,95,100,82,65,219
20,55,98,66,82,159
18,104,64,71,97,280
17,105,68,99,102,235
23,83,71,53,59,282
19,74,96,70,53,238
18,76,109,103,54,307
18,100,76,92,100,310
22,64,107,86,61,277
15,75,51,96,108,256
18,101,75,81,62,203
15,74,108,69,71,160
23,98,76,85,96,194
15,54,80,75,103,324
15,57,90,101,87,214
23,92,52,85,83,157
22,73,86,50,73,268
23,110,94,108,92,334
16,103,50,94,50,213
22,64,65,55,84,268
20,98,110,51,74,208
24,76,97,59,102,175
22,73,66,82,55,234
23,64,91,74,67,160
15,98,64,59,84,224
19,69,77,97,103,186
17,56,110,69,82,188
19,66,103,72,80,335
17,72,89,55,74,301
20,108,51,69,87,167
21,78,81,52,101,332
23,82,96,96,80,184
15,99,69,97,108,243
16,76,65,102,78,262
19,75,69,96,57,169
24,73,105,72,72,284
20,86,57,85,80,169
16,106,68,81,68,281
17,60,104,97,53,216
20,81,63,89,59,199
18,87,87,93,71,187
22,57,75,71,94,213
21,87,105,51,63,315
16,99,88,78,108,332
19,52,104,108,103,335
22,51,51,52,110,336
20,83,96,89,85,163
19,87,75,58,77,187
20,103,97,65,73,157
19,51,51,110,63,334
18,51,97,53,61,180
22,70,62,84,83,297
24,78,62,77,58,280
22,88,54,104,58,269
21,96,79,110,68,321
17,75,64,108,73,330
18,82,81,55,107,255
15,89,60,84,91,202
15,99,59,88,102,244
22,71,64,57,86,156
19,95,74,84,109,246
24,57,101,85,53,153
23,90,99,58,57,224
18,72,84,105,103,321
18,74,75,84,93,198
20,95,71,83,68,291
22,83,94,106,57,164
20,100,94,66,89,302
23,57,54,69,77,223
18,105,72,81,109,319
24,87,93,80,108,243
19,106,107,67,90,290
18,110,68,61,110,180
15,83,53,79,50,247
20,73,63,94,96,231
18,55,110,109,81,322
22,94,79,81,105,290
18,77,94,50,66,317
15,101,88,105,106,248
19,55,108,86,99,273
15,52,109,70,78,262
21,71,50,91,58,235
18,63,79,69,81,292
22,54,94,55,78,285
23,81,105,107,57,221
22,83,71,61,55,179
24,61,88,60,97,246
19,95,100,77,91,292
20,86,82,84,107,202
15,70,84,74,77,160
21,69,108,69,105,207
22,96,105,80,79,235
21,98,97,53,56,243
17,69,63,50,61,268
22,80,76,73,76,287
23,54,99,106,57,256
17,76,110,105,72,235
23,89,50,62,75,207
19,75,105,86,60,188
19,56,89,56,80,233
17,99,60,59,102,209
17,56,79,107,53,237
21,55,60,102,63,178
19,97,109,53,73,254
20,99,62,72,61,269
24,73,99,60,96,159
16,85,76,73,50,238
18,53,66,84,80,311
22,50,79,108,97,197
20,98,97,102,94,251
15,52,88,105,79,297
15,66,102,66,98,323
21,60,69,68,64,285
16,97,62,106,105,160
18,76,54,58,50,333
19,68,70,93,97,244
22,56,64,91,64,225
23,90,60,107,58,184
16,77,99,86,74,337
22,98,64,84,55,323
18,88,74,108,104,206
19,66,102,95,107,181
19,65,107,59,87,156
20,76,82,84,66,230
23,59,92,84,87,291
16,99,54,95,67,275
22,61,70,50,67,205
23,97,66,83,57,171
17,75,51,103,54,288
17,105,101,51,110,202
16,65,52,89,53,152
21,70,107,90,51,153
18,62,69,56,103,195
15,103,95,94,105,236
22,78,69,89,65,165
18,50,86,84,63,292
21,62,91,100,80,229
24,95,84,103,56,283
18,73,107,52,84,329
22,82,71,70,71,310
21,94,89,65,98,340
18,72,98,95,82,255
20,63,74,74,91,279
17,57,63,99,84,238
24,61,109,109,99,205
24,67,78,52,79,223
24,72,72,88,55,340
17,64,80,92,100,178
19,53,76,88,93,168
16,96,56,92,85,262
22,59,58,79,92,283
21,55,83,86,85,260
15,90,73,50,106,165
22,91,65,68,71,263
22,66,104,93,79,245
17,78,62,55,87,332
20,58,73,109,64,218
16,57,66,59,68,196
16,65,73,53,84,274
17,61,92,93,104,189
15,88,75,52,105,319
19,52,85,74,57,173
15,72,50,73,75,205
17,105,105,82,105,290
18,70,54,73,104,195
16,51,60,89,83,297
16,88,71,50,60,272
24,64,102,91,63,296
21,82,73,78,82,173
15,82,55,87,55,186
19,81,79,72,68,221
24,79,105,81,100,164
22,61,106,106,94,302
18,81,64,67,83,199
22,71,66,74,106,224
22,100,105,107,54,161
23,69,64,70,97,295
15,89,52,57,60,166
24,88,83,99,68,189
15,59,76,87,92,232
18,96,57,103,103,300
20,102,70,62,73,239
23,110,58,50,91,260
21,75,75,63,54,287
23,71,72,96,71,174
17,86,69,75,64,225
15,68,108,57,103,210
18,76,69,52,97,194
24,86,61,106,67,280
18,64,55,66,70,206
21,90,97,97,80,296
23,78,71,89,84,275
15,81,50,96,96,267
15,84,54,70,51,229
23,63,108,51,67,272
18,60,77,56,91,311
15,85,78,100,70,202
21,100,90,74,84,281
21,95,63,79,54,159
16,82,56,93,104,336
19,91,50,79,89,166
16,72,72,52,78,249
23,95,66,109,56,240
17,64,106,86,106,227
22,90,105,76,57,333
22,88,60,76,106,302
20,95,65,73,92,150
16,89,68,73,61,324
19,71,106,77,51,215
15,110,98,80,77,327
24,64,110,93,100,200
21,81,108,84,106,213
20,83,55,109,94,244
22,109,63,107,104,157
23,91,94,55,57,175
24,51,92,84,70,318
19,70,93,53,52,327
15,101,62,99,51,214
21,81,95,60,108,326
18,54,79,62,50,296
19,98,83,52,57,190
20,109,108,79,50,219
15,65,77,81,87,229
17,60,62,60,89,215
23,91,70,83,100,182
24,67,91,75,68,223
18,58,76,64,104,157
16,81,64,62,86,304
16,69,68,70,82,262
19,54,65,109,88,288
20,97,94,82,51,307
17,70,90,84,98,195
20,50,78,88,100,209
15,65,55,58,99,266
24,84,65,63,91,328
17,66,76,75,90,283
18,94,78,84,70,300
23,58,51,65,53,339
17,51,54,92,74,275
23,88,103,55,50,323
19,101,98,56,60,211
15,106,54,96,54,312
24,71,99,91,76,237
22,76,52,90,104,240
19,81,51,93,103,205
24,79,65,106,88,331
17,76,109,105,73,301
24,99,96,108,77,236
22,93,60,52,73,248
15,97,85,61,57,300
23,96,61,91,52,250
23,81,81,82,91,196
16,74,69,66,86,258
19,71,102,87,66,170
24,75,75,72,84,311
16,81,87,103,79,332
19,57,93,92,63,243
15,64,92,101,93,262
18,80,72,95,93,299
16,76,65,95,70,178
19,107,56,88,63,285
17,102,53,53,93,180
22,92,76,88,100,269
20,86,92,108,94,304
20,54,103,91,79,290
19,99,68,101,64,221
17,91,61,81,110,265
21,109,58,87,66,291
22,54,56,98,71,207
15,59,50,106,106,330
16,69,72,108,74,170
21,65,91,95,50,185
20,106,107,82,90,222
24,62,76,86,71,242
16,87,105,63,56,266
18,57,100,61,110,328
20,66,86,76,89,184
17,89,108,70,90,234
23,64,57,59,51,289
18,99,64,96,89,326
22,110,98,71,63,180
22,98,96,86,103,306
17,63,66,61,97,254
19,70,101,90,72,248
23,102,90,107,62,224
24,98,62,58,107,168
16,95,89,87,81,166
20,108,99,96,72,225
23,105,102,51,95,318
18,99,76,81,66,250
18,87,63,108,66,338
16,58,89,51,106,255
21,75,63,109,77,212
21,68,109,95,92,336
18,96,91,98,71,296
23,56,83,103,83,194
20,60,101,62,51,278
16,79,85,90,51,327
19,100,56,109,61,290
20,72,88,60,70,295
15,82,80,106,109,256
23,86,94,107,62,237
18,99,84,62,70,284
24,68,108,109,91,304
21,89,74,76,75,263
24,88,83,59,80,335
20,110,59,99,100,286
17,76,78,86,67,229
22,108,69,51,51,288
17,83,67,86,69,154
23,80,69,91,103,333
17,60,105,108,92,337
15,103,64,84,95,281
18,58,59,52,72,194
20,82,56,83,102,253
22,93,70,74,102,226
23,106,88,86,94,260
23,90,82,92,53,201
19,54,84,56,79,185
17,105,89,60,65,220
15,55,83,91,73,283
16,70,109,58,83,222
19,92,78,103,98,321
24,98,56,106,52,193
24,104,86,78,99,260
21,88,67,55,88,157
17,79,84,67,82,308
17,80,66,65,98,194
24,84,50,65,81,325
20,70,87,69,97,237
21,77,102,67,50,194
15,65,57,90,74,327
15,92,106,92,86,252
19,100,52,73,74,307
24,53,81,88,82,167
24,66,77,50,98,255
16,50,92,104,68,169
24,63,66,110,69,308
22,80,75,52,96,331
19,106,85,52,96,168
24,74,55,107,64,315
21,54,70,63,72,201
17,60,64,57,63,150
24,66,99,83,71,325
18,77,105,108,89,332
17,87,74,61,51,214
17,101,105,91,89,314
16,92,79,95,81,169
18,88,76,70,60,340
15,77,55,101,54,266
15,71,97,92,79,174
16,87,77,96,83,315
17,60,54,100,89,213
24,104,53,68,67,277
21,89,73,66,82,194
15,69,102,72,100,215
20,62,76,78,78,256
23,90,94,61,55,322
17,89,97,84,85,239
17,71,62,52,105,206
21,85,73,53,85,276
23,100,75,95,110,332
17,100,107,82,80,318
23,73,110,103,108,152
19,96,55,84,88,287
20,100,100,89,99,246
24,75,68,76,85,166
23,68,52,75,101,192
19,78,69,63,65,239
16,102,77,68,96,257
21,61,104,93,69,216
24,91,73,100,80,282
16,51,60,100,68,189
17,64,73,79,81,225
22,106,88,93,103,200
18,84,53,92,90,322
22,105,57,89,57,155
23,108,110,88,78,313
22,95,62,66,50,166
18,91,101,62,80,164
23,60,80,59,53,287
16,81,67,74,93,186
17,73,76,95,54,314
23,53,108,54,66,155
19,92,96,83,102,302
19,90,73,94,66,340
18,87,50,101,103,332
18,69,67,92,56,174
19,89,63,81,81,271
21,50,78,110,85,331
24,92,71,84,100,215
17,106,109,52,67,245
23,65,68,94,82,263
18,96,55,74,98,215
24,82,95,72,59,163
22,55,75,55,93,272
15,78,102,74,61,329
20,99,65,69,82,234
23,56,95,58,72,172
19,87,92,57,97,259
23,107,61,109,99,192
20,61,77,82,95,204
23,50,56,55,53,304
17,85,77,83,60,207
16,110,85,81,50,202
22,98,84,108,53,255
18,92,78,103,83,170
18,75,62,68,107,164
15,91,53,86,96,186
21,88,102,55,106,274
22,81,101,98,89,263
17,53,91,90,88,271
24,72,86,71,109,244
22,69,108,94,81,192
19,58,104,90,65,331
17,98,57,98,86,284
23,52,93,85,59,250
18,80,75,65,89,243
15,85,75,100,60,224
20,73,83,52,86,292
20,56,96,102,67,234
23,86,74,71,72,287
19,56,110,105,89,316
15,89,50,107,109,201
17,108,98,53,102,164
22,103,86,97,87,234
17,85,86,63,51,177
16,108,98,75,56,153
17,69,101,72,96,231
16,106,81,103,99,323
20,103,63,67,74,159
24,83,73,57,84,176
17,70,87,83,62,329
22,54,66,96,74,248
17,83,63,102,78,328
21,87,77,59,102,309
20,66,100,84,105,215
24,83,79,64,109,340
20,95,101,63,96,304
20,85,58,97,71,323
24,52,86,75,69,196
17,102,63,94,64,172
16,94,73,91,62,190
17,57,98,82,77,307
21,64,60,109,90,169
20,92,85,64,103,282
24,78,106,83,93,220
17,99,82,108,103,328
16,65,74,62,78,293
15,72,91,93,89,328
18,83,86,54,50,311
23,95,106,105,75,247
21,78,59,81,107,243
17,74,100,87,101,153
15,103,105,63,71,175
21,84,84,58,70,249
21,108,62,109,91,276
22,69,58,75,77,311
15,56,66,56,63,298
19,88,71,65,57,195
23,67,60,64,57,339
16,63,51,91,72,333
24,96,50,65,79,214
23,77,64,76,66,158
16,64,50,105,92,319
24,105,62,81,96,250
18,102,70,106,86,232
16,100,109,97,106,324
23,105,86,87,107,217
24,82,96,97,98,265
24,105,97,93,92,238
16,52,97,54,99,225
22,65,66,82,91,167
20,66,81,67,87,284
16,80,94,106,107,308
21,81,83,67,65,302
17,86,95,93,62,221
16,58,98,109,107,171
19,51,75,71,71,172
21,77,75,55,91,249
23,92,96,101,92,266
21,73,79,87,96,229
15,87,55,89,108,318
20,88,80,73,63,310
21,84,64,109,73,174
21,66,83,86,74,248
18,102,61,57,91,215
22,58,91,92,81,184
21,63,106,55,108,287
22,71,92,59,77,303
17,78,68,64,89,327
23,50,87,69,63,238
20,52,70,90,65,209
19,86,70,91,63,326
24,86,83,103,66,277
15,106,61,63,65,315
17,110,99,106,54,304
20,106,103,58,84,303
15,56,93,75,50,216
19,64,107,98,57,283
15,108,108,82,58,332
16,60,50,51,86,211
24,69,97,78,54,151
21,64,76,99,109,264
15,94,67,75,72,329
18,60,95,89,67,191
21,59,104,98,75,222
15,106,109,84,104,273
16,92,75,74,68,214
21,84,52,69,57,204
15,104,60,51,84,280
23,95,53,100,50,270
17,61,79,83,51,174
15,98,59,54,88,322
23,80,71,56,52,187
15,103,88,71,52,326
16,97,74,103,98,258
23,70,105,88,63,194
20,52,94,99,67,161
16,105,99,62,85,203
16,93,85,110,91,263
24,63,54,74,93,155
15,96,53,68,69,245
21,69,104,90,102,210
21,69,94,68,105,232
18,87,101,69,110,225
15,88,52,69,94,246
16,97,91,103,70,173
20,99,72,102,71,274
18,59,71,75,55,241
24,89,52,73,58,233
15,86,107,110,88,173
23,103,76,61,55,257
15,90,65,108,109,244
19,89,69,109,93,228
22,67,60,51,102,243
22,92,104,54,102,291
16,70,63,90,87,247
15,82,63,82,59,266
24,97,82,98,86,287
24,67,65,70,51,153
17,50,98,63,105,210
16,107,86,54,69,329
22,66,86,81,90,184
23,60,67,55,103,190
24,63,100,109,101,329
18,91,99,94,85,288
23,71,77,71,66,198
22,62,84,93,56,232
23,64,90,66,77,333
19,65,94,61,74,295
19,55,102,93,80,161
23,75,99,56,56,176
20,106,77,97,75,197
23,102,53,103,89,266
17,62,75,94,81,262
15,106,106,53,68,207
23,66,58,54,67,251
23,66,68,66,86,237
24,50,55,100,103,298
19,58,52,104,107,184
20,52,63,53,78,218
23,51,94,88,53,257
17,60,53,86,77,235
23,85,94,88,95,271
16,53,61,98,62,289
20,95,50,59,70,185
15,85,89,64,100,188
22,80,62,100,106,221
20,99,50,56,71,196
19,87,70,78,99,275
24,84,76,59,62,267
24,62,93,69,90,225
24,60,84,61,60,163
22,73,105,106,76,297
15,64,64,93,79,224
23,108,105,103,55,190
24,79,78,87,86,221
23,94,92,109,109,205
21,63,99,77,61,219
23,57,97,88,107,237
18,93,104,68,75,181
18,86,97,83,51,320
20,54,79,92,65,213
18,93,72,108,79,256
16,91,103,101,59,316
20,97,108,90,73,200
24,52,92,98,54,275
21,52,75,57,70,204
20,96,105,50,85,314
15,103,68,104,61,293
23,98,59,67,50,174
24,86,99,106,78,192
15,110,54,54,53,247
22,67,77,75,77,330
21,74,81,73,98,257
20,50,50,108,91,313
20,50,85,71,63,281
20,99,62,87,56,297
24,93,102,62,76,264
22,67,76,106,85,181
22,74,92,83,91,228
23,66,69,61,64,264
16,72,76,77,53,220
19,61,94,58,58,254
16,65,63,87,56,228
17,100,56,97,72,242
18,68,86,107,85,340
15,58,83,104,65,334
22,85,76,102,95,250
23,96,62,68,101,234
21,53,96,91,85,325
20,83,72,68,80,278
21,61,61,104,102,277
20,75,52,96,65,234
21,98,102,59,61,309
20,65,80,83,55,176
17,108,62,56,55,244
19,77,108,75,60,300
23,84,75,86,99,324
20,88,72,82,72,180
20,110,107,61,61,234
17,99,69,50,87,249
24,63,89,105,90,282
24,84,95,74,89,330
19,97,85,102,61,244
22,83,90,90,74,258
15,57,99,89,84,315
21,90,99,63,82,196
19,110,97,55,80,295
18,82,85,61,94,224
22,68,97,50,110,186
21,57,89,103,66,292
17,94,106,106,64,169
15,73,90,80,100,331
22,103,71,75,66,182
18,110,107,78,91,319
18,87,96,99,69,325
17,81,81,87,50,298
20,51,93,60,62,213
24,53,100,95,100,279
16,95,106,82,81,221
21,69,68,96,78,200
24,87,108,59,58,163
23,72,89,95,90,234
23,64,94,54,106,263
23,94,64,59,70,181
19,65,106,91,61,236
16,98,50,105,74,185
15,101,62,70,74,265
20,83,55,101,71,162
15,71,73,91,58,159
