floor1,floor2 ,floor3,floor4,temperature,area
108,111,216,204,17.4,87
197,230,151,219,17.1,86
211,232,116,211,16.7,91
297,232,136,244,17.0,77
162,118,149,154,22.5,64
186,194,181,183,18.2,50
191,151,177,233,25.0,93
194,154,171,103,20.1,91
196,223,136,154,22.8,57
289,131,198,278,19.7,65
198,263,181,295,17.3,73
250,189,291,126,20.5,81
257,117,209,268,23.5,76
174,144,246,209,15.0,96
169,231,255,116,16.3,84
220,281,283,157,15.4,95
275,296,175,276,23.8,53
242,246,154,241,20.9,54
123,289,267,234,18.3,73
104,296,245,208,21.6,94
181,180,176,141,23.5,72
289,286,229,292,20.8,86
123,292,179,209,15.6,67
214,293,131,123,20.4,72
290,281,184,240,20.2,61
205,261,240,218,24.4,98
257,232,230,259,21.6,87
228,113,188,112,15.8,78
266,256,126,293,18.2,79
209,196,259,235,22.7,94
155,130,293,272,17.1,86
227,113,120,184,17.0,80
154,135,266,266,24.7,90
125,101,112,239,15.8,66
272,290,161,184,23.2,71
165,244,212,135,22.8,70
276,124,218,109,23.2,76
146,241,194,272,20.8,57
146,121,152,282,15.3,52
141,273,261,107,15.6,99
249,287,171,265,22.8,84
272,160,204,191,16.2,87
248,194,131,118,17.8,58
222,177,174,153,21.6,54
297,256,287,125,18.5,63
106,100,254,215,22.7,61
134,110,112,124,18.0,69
284,180,204,256,22.7,77
178,288,186,206,19.3,92
154,133,283,226,19.6,76
102,256,282,267,19.2,95
195,143,161,141,23.9,59
128,230,220,104,16.2,60
163,259,106,281,21.9,88
184,135,108,276,23.6,84
118,119,199,116,23.7,76
139,171,280,101,18.2,94
157,226,192,298,20.6,90
137,243,187,212,16.5,75
100,231,144,251,23.8,90
124,233,254,113,24.9,83
267,224,242,141,24.2,96
258,231,227,187,18.2,98
249,117,185,162,15.6,52
239,131,211,208,17.0,95
105,114,213,197,18.7,60
167,120,211,133,21.4,74
263,143,196,191,19.9,68
283,169,286,156,24.8,83
103,175,173,131,22.7,57
232,229,158,199,18.4,74
248,212,200,131,24.1,75
286,292,260,216,18.8,50
275,132,231,185,18.6,95
261,121,174,244,23.4,67
206,289,189,165,19.8,72
187,149,148,247,23.1,91
299,240,161,159,22.6,74
135,220,194,165,16.6,96
271,112,233,245,18.9,55
119,232,229,102,21.7,64
298,265,145,237,22.7,95
105,169,256,278,19.7,60
175,221,173,135,22.6,83
170,177,184,203,24.9,84
286,168,196,269,15.4,57
255,298,282,240,21.7,88
243,119,203,273,22.2,63
145,262,169,197,23.9,80
169,166,294,107,16.1,94
256,213,106,160,16.5,81
226,238,126,154,15.7,78
265,132,237,277,20.4,68
284,164,298,235,17.7,67
219,178,105,118,17.7,61
130,239,124,245,15.4,95
133,133,247,291,20.2,64
282,243,153,106,21.2,73
234,152,210,291,23.9,64
289,262,242,184,19.2,70
209,220,179,187,16.5,99
142,157,159,235,22.0,69
204,256,150,164,15.4,72
245,245,269,218,23.2,56
212,226,156,265,20.1,77
290,236,131,247,20.4,96
171,265,182,264,19.7,53
295,250,243,221,19.4,61
263,284,289,242,15.8,84
134,257,115,164,19.0,79
217,191,299,171,23.4,96
298,130,123,190,24.1,63
260,233,281,238,24.1,81
264,141,119,212,17.2,74
215,157,227,201,20.7,97
106,204,284,225,24.2,77
117,140,287,259,20.8,51
185,194,243,224,19.2,74
191,138,286,103,24.0,84
154,130,214,240,15.7,67
255,171,155,259,21.8,54
293,220,192,199,18.0,51
195,205,199,225,23.5,88
257,160,244,296,18.9,91
159,287,138,287,15.3,76
103,216,129,294,22.8,79
117,129,278,241,18.8,84
153,209,165,213,19.0,60
107,283,196,258,15.9,65
246,286,187,257,18.3,72
154,220,135,109,18.9,81
261,184,270,194,16.0,50
267,172,173,277,16.2,78
190,230,280,239,15.8,59
271,134,210,157,23.4,82
217,146,114,147,24.6,73
258,247,137,207,22.1,59
279,118,229,143,18.4,87
160,126,286,271,16.6,89
289,241,130,173,20.7,72
276,102,110,202,17.2,53
208,133,273,180,16.1,79
238,110,298,188,21.6,89
238,131,135,242,20.0,72
168,277,219,219,23.8,66
150,105,185,237,24.6,71
215,100,133,191,18.1,53
188,120,227,286,18.5,95
279,224,165,241,24.8,73
206,151,203,237,18.5,72
267,142,234,259,22.4,81
164,144,216,165,17.8,80
158,273,183,173,24.6,83
109,198,297,122,19.2,50
208,157,245,287,19.7,55
238,297,226,130,20.8,89
144,104,222,174,17.8,66
141,123,150,239,24.9,55
265,221,108,256,15.1,73
213,168,161,164,25.0,92
137,132,120,147,19.5,69
126,210,236,228,16.7,67
273,258,118,161,18.3,99
259,174,184,114,23.9,83
209,108,283,116,22.4,54
188,166,201,281,21.7,86
151,240,203,176,24.0,60
284,297,120,276,21.7,66
115,142,128,253,23.2,90
103,191,249,124,22.3,57
220,259,190,269,19.4,63
135,276,269,255,18.9,86
105,121,286,225,16.5,90
237,278,123,195,16.9,50
273,265,115,174,15.1,50
158,287,240,154,18.1,72
129,165,219,243,23.5,92
162,188,131,258,15.0,65
300,241,143,256,22.8,54
120,259,138,229,23.8,57
276,201,130,258,21.7,78
214,238,171,238,20.1,82
208,281,291,163,24.5,70
202,201,190,251,18.7,74
124,120,128,209,20.3,70
162,220,160,295,24.9,67
294,132,298,257,19.9,75
252,249,207,207,15.3,56
108,169,188,147,16.4,80
248,215,110,145,24.8,61
127,265,102,130,22.7,73
300,283,145,271,22.9,100
234,284,178,295,17.8,56
136,145,242,142,21.0,72
256,296,292,138,20.9,85
219,193,133,220,15.9,74
253,127,211,106,20.7,78
238,182,239,150,15.1,89
113,182,283,112,20.2,100
101,132,116,230,18.1,82
127,299,116,136,20.0,78
181,264,169,189,17.6,98
224,126,287,185,20.5,91
272,196,180,101,24.2,64
137,149,277,279,16.1,73
131,174,194,177,16.0,61
247,129,160,237,23.3,76
270,278,280,243,20.3,71
128,140,200,181,17.7,67
185,172,153,255,19.5,53
173,253,134,231,16.9,67
146,219,246,110,15.0,96
224,288,165,155,18.4,64
259,147,193,290,15.6,94
171,208,230,272,24.9,59
136,189,119,222,21.3,99
192,166,139,289,15.1,59
198,273,206,111,16.6,77
103,241,281,218,18.1,84
284,272,181,195,20.4,86
111,291,128,208,16.4,76
107,202,220,210,18.9,94
222,163,271,217,24.0,70
237,113,262,267,16.2,85
161,257,252,216,23.7,50
183,116,140,176,23.2,64
217,133,290,276,17.7,57
209,288,133,264,17.9,77
127,197,165,278,24.4,69
256,238,259,286,19.0,77
113,207,249,141,23.9,77
183,121,251,224,20.6,75
103,247,152,269,23.3,87
257,137,279,103,15.1,96
104,282,245,265,20.5,58
225,256,249,186,19.6,60
123,242,133,243,22.9,55
132,191,140,182,17.8,60
107,206,162,115,15.6,51
177,235,207,152,22.0,64
229,148,250,244,16.1,98
154,129,246,181,17.5,55
127,212,300,191,19.2,86
281,128,203,152,24.6,72
124,196,219,215,15.3,68
202,260,275,213,16.0,82
264,187,257,105,19.0,93
272,252,167,254,16.0,62
158,131,183,250,19.4,66
284,155,134,103,17.7,92
172,159,205,152,21.6,98
201,110,190,226,15.1,74
196,249,154,175,19.1,56
249,292,247,298,15.6,98
114,122,289,276,22.2,91
271,255,230,179,17.2,60
233,113,214,154,23.7,53
253,294,116,203,24.5,61
288,152,262,224,23.5,52
227,213,262,279,24.3,79
266,131,191,193,23.9,69
255,244,231,104,19.2,52
270,121,253,266,24.7,94
277,238,210,207,22.5,61
222,168,277,296,24.4,63
250,118,131,202,22.6,89
